WMO,lon,lat,grnd,uncertainty,tid_flag,SID,gebco,uncertainty2,tid_flag2,gebco2
690159781,-8.415111667,47.33209833,-2714.283343,1045.789781,-1,33401,-2679.40449405,576.2,9998,-2683.0
690159783,-8.44442,47.28796,-3399.463103,730.8733853,-1,33401,-3183.47883177,643.0,9998,-3153.0
690159785,-8.4522,47.36294,-2704.485936,1009.899957,-1,33401,-2502.15854415,558.0,9998,-2491.0
690159786,-8.429085,47.32104667,-2788.673716,953.2399355,-1,33401,-2776.53536959,570.1,9998,-2761.0
690159787,-8.28732,47.32392,-2736.800113,1091.343093,-1,33401,-2577.15889923,644.5,9998,-2577.0
690159788,-8.388766667,47.34028,-2627.137163,1089.690119,-1,33401,-2635.61812847,578.3,9998,-2640.0
690163241,-18.66496833,46.43701333,-3980.640221,190.9001621,9998,33401,-4016.18840667,144.1,9998,-4007.0
690163242,-18.637075,46.41821833,-3870.624631,349.6350341,9998,33401,-3831.17461201,232.1,9998,-3831.0
690159789,-8.4522,47.33855,-2823.896508,837.5803406,-1,33401,-2697.40566376,570.8,9998,-2691.0
690163243,-18.62347833,46.38913167,-3771.275652,481.7042503,9998,33401,-3784.19286802,326.7,9998,-3784.0
690163244,-18.60866333,46.34957,-3758.622714,698.3259761,9998,33401,-3797.32901454,455.2,-1,-3795.0
690163245,-21.73365,46.46315,-3782.941491,3073.851259,-1,33401,-4209.11171692,1920.4,9998,-4211.0
690163246,-18.55643333,46.24975667,-3785.938744,1029.575317,9998,33401,-3774.20350006,669.3,9998,-3775.0
690163247,-18.56606,46.172,-3812.270008,1129.887022,9998,33401,-3803.17695586,737.4,9998,-3803.0
690163248,-19.77937,46.1806,-3790.834246,1604.428063,9998,33401,-4501.87477807,990.4,9998,-4458.0
690163249,-18.63146333,46.13458,-3922.337411,1028.733152,-1,33401,-3926.09662941,758.4,9998,-3925.0
690163286,-21.3259,44.34843,-3967.776344,872.1396642,9998,33401,-3875.86966626,648.9,9998,-3874.0
690163287,-21.52128,44.44269,-3785.595414,1146.176081,-1,33401,-3825.53216073,789.2,9998,-3825.0
690163288,-21.68906,44.59508,-3783.59333,1014.18507,-1,33401,-3859.46816008,887.2,9998,-3858.0
6901632113,-21.7918,46.10603,-3931.110801,2296.385723,-1,33401,-3831.18961827,1619.2,-1,-3849.0
6901632128,-23.45243833,45.29894167,-3195.99356,1305.247998,9998,33401,-3008.00726278,876.3,-1,-3001.0
6901632129,-23.86916,45.34636,-3359.072977,1537.844441,9998,33401,-2996.00752574,1163.5,9998,-2989.0
69017581,-35.18626,52.75759,-2905.620375,2942.812863,-1,33401,-3183.58052796,1256.1,9998,-3195.0
69016021,-35.53079,52.7448,-3518.697218,2170.547294,-1,33401,-3484.4612173,1400.4,9998,-3493.0
69017591,-38.41965,52.63103,-3469.008379,2164.516091,9998,33401,-3525.60904919,1330.2,9998,-3525.0
69017592,-36.72713,52.8989,-3162.538282,1289.723447,-1,33401,-3843.44654412,635.0,9998,-3878.0
69017582,-35.48567833,52.77164,-3484.565817,2199.900891,-1,33401,-3470.58073321,1375.1,9998,-3472.0
69017583,-36.57002,52.86352,-3475.76209,1223.91701,-1,33401,-3608.50529987,771.7,9998,-3590.0
69016023,-37.44153,52.94799,-3415.275116,1572.787996,9998,33401,-3549.3232233,949.7,9998,-3541.0
69017593,-37.04876,53.00534,-3314.778383,1121.340544,-1,33401,-3447.36557945,624.3,9998,-3423.0
690175728,-19.40841,50.97954,-3974.122574,1531.255594,9998,33401,-4032.0640444,1244.3,9998,-4029.0
690175729,-19.49686,50.91191,-3907.970877,1496.981501,9998,33401,-3791.61771722,1222.5,9998,-3789.0
690175730,-19.45894,50.83658,-3751.236508,1420.152619,-1,33401,-3733.06897018,1011.6,9998,-3729.0
690175731,-19.501255,50.85437667,-3761.944358,1487.61996,-1,33401,-3731.87190824,1083.1,9998,-3733.0
690175732,-19.53147,50.85357,-3739.542284,1518.839579,-1,33401,-3715.29382371,1097.0,9998,-3715.0
69016024,-37.47776,52.99244,-3437.692533,1539.51846,-1,33401,-3776.39524846,915.4,9998,-3775.0
690175733,-19.54087833,50.86229333,-3750.253776,1546.127074,-1,33401,-3720.74840029,1121.6,9998,-3722.0
690175734,-19.541055,50.86235667,-3741.487433,1550.817172,-1,33401,-3720.38531039,1119.2,9998,-3722.0
690175735,-19.45894,50.83658,-3756.106527,1425.352169,-1,33401,-3733.06897018,1012.9,9998,-3729.0
690175736,-19.35175,50.85512,-3733.697298,1395.671082,-1,33401,-3783.78789851,936.1,9998,-3790.0
690175737,-19.31414,50.77976,-3715.214126,1195.650544,9998,33401,-3759.42591723,794.6,9998,-3761.0
690175738,-19.410115,50.73867167,-3819.440858,1138.356821,9998,33401,-3828.39059811,818.8,-1,-3828.0
690175739,-19.51257167,50.72876667,-3799.96893,1183.699684,9998,33401,-3797.96800983,876.3,-1,-3797.0
690175740,-19.60043,50.75963,-3750.288582,1393.256537,9998,33401,-3733.96094129,977.3,-1,-3734.0
690175741,-19.56784333,50.75795667,-3726.9113,1380.374232,9998,33401,-3745.58869975,949.4,9998,-3745.0
690175742,-19.570665,50.74427333,-3740.553308,1320.481953,9998,33401,-3747.32340558,929.8,-1,-3749.0
690175743,-19.552605,50.723465,-3772.702378,1231.13149,9998,33401,-3771.72376764,887.1,-1,-3772.0
690175744,-19.49354,50.75551,-3766.847801,1274.04803,9998,33401,-3805.27659292,904.8,9998,-3805.0
69017587,-39.00654,53.26837,-3425.905974,332.6970264,9998,33401,-3478.74292632,206.8,-1,-3478.0
69017588,-39.45283,53.23181,-3398.608711,56.35547767,9998,33401,-3522.63326081,45.7,-1,-3523.0
69017589,-40.00829167,53.13773167,-3586.802423,744.0738264,9998,33401,-3616.04832009,566.3,-1,-3612.0
690175810,-40.41694167,52.95861,-3650.19607,1208.122504,-1,33401,-3677.24206265,909.3,9998,-3681.0
690175910,-39.404845,53.04662667,-3666.729416,610.5520795,9998,33401,-3583.43547463,460.2,-1,-3580.0
690175811,-41.57643167,52.89862833,-3611.241041,1415.117969,-1,33401,-3723.59453759,893.0,9998,-3727.0
690175812,-41.98721,52.65553,-3384.150981,1326.038029,-1,33401,-3279.06860351,787.1,9998,-3275.0
690160212,-32.81266,52.21227,-3674.795815,4280.893864,-1,33401,-3738.12962886,3065.9,9998,-3737.0
690160213,-34.8282,52.24916333,-3094.35605,4632.757935,9998,33401,-3050.71232982,2298.0,-1,-3052.0
690160214,-35.75073667,52.60112,-2857.75243,3012.694014,9998,33401,-3012.43081458,1249.2,-1,-3022.0
690160216,-36.35128333,52.63076167,-3263.166148,1807.472347,9998,33401,-3095.65839481,964.0,9998,-3099.0
690160217,-36.65721,52.60095,-3204.606031,1628.802431,9998,33401,-3141.01261533,859.7,9998,-3138.0
690175817,-45.67404,50.21766,-3451.229927,3499.003549,-1,33401,-3515.03890647,2047.5,9998,-3510.0
690160219,-36.01496667,52.84401333,-3488.443412,1627.565145,-1,33401,-3512.54417574,1020.2,9998,-3513.0
690175819,-43.67776833,48.92644833,-3275.974396,1790.446093,-1,33401,-3274.27434937,982.8,9998,-3274.0
6901757108,-20.54155,48.4926,-3973.075547,825.710201,9998,33401,-4110.75348072,708.0,-1,-4114.0
690160220,-35.93129,52.86086,-3143.995793,1780.125089,-1,33401,-3279.50487564,912.1,9998,-3281.0
690175820,-43.31306,48.55793,-3326.84767,5593.192627,9998,33401,-3427.06982223,2870.9,-1,-3422.0
690160221,-33.93513,52.45336,-3455.411277,4181.962879,-1,33401,-2806.63553489,2541.2,9998,-2811.0
690175821,-43.2759,48.51447,-3434.205577,6413.930454,9998,33401,-3392.20866014,3640.4,-1,-3391.0
690160222,-36.418735,52.80603167,-3600.551482,1404.226214,-1,33401,-3728.89875273,904.2,9998,-3729.0
690160223,-36.32401,52.78547,-3613.226263,1441.815016,-1,33401,-3752.62455199,978.1,9998,-3752.0
690160224,-35.97936,52.82232,-3554.739948,1628.126524,-1,33401,-3540.96833229,1093.2,9998,-3539.0
690160226,-37.14233667,53.03988,-3443.529201,1126.642127,-1,33401,-3378.28939296,653.2,9998,-3384.0
690160227,-36.70198,53.2528,-3077.475072,710.424728,9998,33401,-3018.06633456,332.4,-1,-3020.0
690160228,-36.538675,53.28550667,-2881.044027,700.1180598,9998,33401,-2674.01408563,274.6,-1,-2679.0
690160230,-36.66473,53.223455,-3055.015744,773.2919726,9998,33401,-3051.30101872,345.9,-1,-3052.0
690160231,-36.83393,53.24139,-2979.777479,845.6494772,9998,33401,-3087.8243806,379.8,-1,-3088.0
690160232,-36.719475,53.24975167,-3073.568717,709.4292207,9998,33401,-3032.08478652,338.6,-1,-3037.0
690160233,-36.75001833,53.40808667,-2769.531528,615.0097449,9998,33401,-2773.30844769,235.6,-1,-2774.0
69017621,-36.16195667,59.37622,-3093.444892,521.7647774,-1,33401,-3099.35631985,403.6,9998,-3100.0
69017622,-35.84400333,59.85059333,-3070.873732,1632.822315,9998,33401,-3087.76479361,1205.1,9998,-3088.0
69017602,-35.80614,59.17684,-2927.475006,262.8791017,-1,33401,-3026.91247715,142.6,9998,-3027.0
69017623,-35.47936,59.97494,-3061.080385,1539.618095,-1,33401,-3065.31518105,1031.0,9998,-3064.0
69017603,-35.80344667,58.901555,-2528.565241,927.7738839,9998,33401,-2608.53162923,386.2,9998,-2612.0
69017624,-35.68850167,60.32475667,-3034.63412,1532.438818,-1,33401,-3057.89438547,1048.5,9998,-3063.0
69017604,-35.321785,58.93269167,-2753.561228,1145.958523,-1,33401,-2835.76961305,606.0,9998,-2843.0
69017625,-35.55448,60.25291,-2799.213263,1891.837334,-1,33401,-2769.46716867,1019.5,9998,-2765.0
69017605,-35.80031333,59.06418167,-2611.711173,587.3402444,-1,33401,-2769.35334226,263.3,9998,-2766.0
69017626,-35.32056667,60.20431,-3054.190271,1517.188746,-1,33401,-3055.38525744,986.2,9998,-3053.0
69017606,-36.48933333,58.75918833,-2924.643756,859.306773,-1,33401,-3180.41803869,539.3,9998,-3181.0
69017627,-35.387165,60.442525,-3041.440307,1588.503714,-1,33401,-3041.05634852,1120.1,9998,-3036.0
69017607,-36.309,58.37268,-2933.529814,785.7241219,9998,33401,-3007.70609301,449.5,9998,-3011.0
69017628,-35.40737,60.52098333,-3034.586907,1672.608031,-1,33401,-3035.68193197,1156.6,9998,-3035.0
69017629,-35.93412833,60.23100667,-3037.585912,1366.198154,-1,33401,-3037.35144616,1032.7,9998,-3037.0
69017609,-35.17418,58.92361,-3005.679781,1005.458291,-1,33401,-2765.2912447,769.8,9998,-2759.0
690176210,-34.76312,59.96545,-3059.130105,1326.886392,-1,33401,-3056.28623197,1045.9,9998,-3053.0
690176211,-35.72126,60.03256,-3057.161074,1521.124254,9998,33401,-3052.05040611,1120.8,9998,-3055.0
690176011,-36.22954833,59.72675833,-3075.785585,1402.820764,9998,33401,-3088.42977298,1003.8,9998,-3088.0
690176212,-34.97112333,59.91430167,-2932.185254,1511.826493,-1,33401,-3062.15837174,916.5,9998,-3058.0
690176012,-36.70981667,60.07173833,-3056.175195,1446.610105,-1,33401,-3064.2869725,1000.1,9998,-3063.0
690176013,-37.81248667,59.95965833,-3058.155213,1935.191963,-1,33401,-3064.04893614,1437.9,9998,-3064.0
690176214,-35.27703333,59.12418333,-3041.762359,720.2861944,9998,33401,-2978.30384707,552.8,9998,-2977.0
690176014,-38.006585,60.177745,-3038.575181,2167.98537,9998,33401,-3022.76893771,1585.3,9998,-3023.0
690176215,-36.28991833,59.42956833,-3092.45534,660.0887577,9998,33401,-3095.53687903,522.2,9998,-3096.0
690176015,-35.98826333,60.43252333,-3020.938421,1055.410642,-1,33401,-3012.87692918,692.5,9998,-3013.0
690176016,-36.50025,60.98597,-2904.584232,1288.882563,-1,33401,-2930.76699329,739.1,9998,-2931.0
690175853,-39.39433,51.26468,-3800.758849,1118.116131,-1,33401,-3632.47830276,816.3,-1,-3632.0
690176017,-37.27025,61.0724,-2874.278157,908.5847084,9998,33401,-2881.14455314,549.0,9998,-2883.0
690176218,-34.55390167,59.26760667,-2701.659962,450.6243628,-1,33401,-2764.62601781,254.5,9998,-2769.0
690176018,-36.6909,61.26955,-2852.738119,947.0434609,9998,33401,-2817.77869624,545.6,-1,-2818.0
690176219,-34.48687,59.20874,-2723.187248,685.6312278,-1,33401,-2671.70659023,344.5,9998,-2675.0
690176019,-35.83765,61.80861,-2840.893713,2180.277076,-1,33401,-2830.18662339,1233.6,9998,-2832.0
690175856,-40.45057,51.70958,-3870.703537,3257.924877,9999,33401,-3066.74689396,2414.1,9998,-3064.0
690176220,-33.02974,59.19239,-2222.915063,1996.615478,-1,33401,-2054.63481831,614.8,9998,-2087.0
690176020,-40.19696,61.22581,-2830.27258,5553.379383,9999,33401,-1977.32474735,3204.5,9998,-1981.0
690175857,-41.01710667,52.22658167,-2859.803663,3681.822107,9998,33401,-2964.43723219,1352.4,-1,-2964.0
690176221,-34.67318,58.94692,-2784.844143,1312.563512,9998,33401,-2579.38552951,620.1,-1,-2578.0
690176021,-36.17484333,61.879165,-2753.895592,1006.378728,-1,33401,-2769.82583763,408.6,9998,-2770.0
690175858,-41.02062,52.23105,-3069.939649,3515.134982,9998,33401,-2968.32078245,1454.9,-1,-2970.0
690176222,-35.31417833,58.6471,-3040.904437,1279.24007,-1,33401,-3096.19168371,1001.7,9998,-3100.0
690176022,-34.61186667,61.99459833,-2885.796459,1717.672339,-1,33401,-2896.00727738,991.7,9998,-2896.0
690175859,-40.52282833,52.292215,-3150.990999,5092.685174,9998,33401,-3207.2250425,2252.5,-1,-3212.0
690176223,-36.58143167,58.61507833,-3046.771332,710.8959503,-1,33401,-3026.36012328,504.6,9998,-3027.0
690176023,-34.05143667,61.18371,-2986.583865,873.3966541,-1,33401,-2984.23093616,505.2,9998,-2987.0
690175860,-40.11198333,52.27197667,-3139.277841,5193.262953,-1,33401,-3152.38202119,2275.0,9998,-3131.0
690176024,-33.99127,61.30571,-2983.62588,1068.013706,-1,33401,-2982.17512378,595.1,9998,-2982.0
690175861,-39.89658167,52.145575,-3178.374166,5261.05191,-1,33401,-3139.62859541,2342.2,9998,-3138.0
