lat,lon,grnd,gebco,uncertainty,tid_flag
-31.05952,51.13664,4993.37,4933.0,414.6,-1
-31.07169,51.10729,4988.706,4921.0,453.3,-1
-31.15724,51.15253,4840.441,4908.0,520.4,-1
-31.24143,51.27307,4910.409,4927.0,626.7,-1
-31.09083,51.40638,4940.658,4943.0,360.8,-1
-31.13537,51.4354,4902.006,4879.0,430.9,-1
-31.1403,50.96344,4858.8,4880.0,720.8,-1
-31.08469,50.82153,4853.19,4917.0,813.8,-1
-25.23995,57.35527,4169.856,3946.0,1418.4,9998
-25.10573,57.44403,3978.932,5175.0,1183.6,9998
-25.05582,57.49745,4033.747,5148.0,1163.5,9998
-24.94445,57.57327,3920.553,5098.0,1045.4,-1
-24.87256,57.62206,4041.501,5062.0,1007.8,-1
-24.8227,57.64537,4036.64,5119.0,950.5,-1
-24.85047,57.69655,4041.703,5112.0,988.8,-1
-24.93344,57.70019,4860.131,5073.0,1305.3,-1
-4.9201,-20.01627,3943.415,5189.0,1990.8,9998
-2.11078,-21.66587,1811.21,4860.0,1602.2,9998
-2.43918,-20.92609,4565.554,5704.0,4389.0,9998
-2.452,-21.00627,4750.951,5642.0,4603.6,-1
-2.41657,-21.06944,5315.559,5435.0,5067.4,-1
-2.41395,-21.10627,5053.589,5342.0,4820.0,-1
-2.40711,-21.12611,4949.224,5217.0,4723.6,-1
-2.39018,-21.22417,4350.771,4737.0,4202.0,-1
-2.2005,-21.14536,4581.333,4440.0,4159.0,-1
-2.1845,-21.21551,4244.137,4492.0,3845.8,-1
-1.60255,-21.27618,4672.748,4553.0,2602.5,-1
-1.46334,-21.12724,4292.218,4244.0,1956.7,-1
-1.33759,-21.14663,4405.756,4411.0,1544.4,-1
-1.17035,-21.76087,5267.75,5442.0,1252.0,9998
-1.23767,-22.08291,5213.483,5176.0,1396.3,9998
-1.27967,-22.1621,5288.129,5247.0,1555.4,-1
-1.33432,-22.03923,5539.362,5651.0,1936.1,9998
-1.31044,-21.93874,5481.187,5601.0,1799.1,9998
-1.30233,-21.80653,5147.551,5199.0,1671.1,9998
-1.29593,-21.88939,5368.865,5500.0,1702.7,9998
-1.25583,-21.84087,5300.456,5360.0,1542.8,9998
-1.28047,-21.77552,5223.87,5217.0,1600.9,9998
-1.29823,-21.82248,5180.763,5242.0,1666.4,9998
-1.33234,-21.91158,5332.866,5597.0,1859.0,9998
-1.36181,-21.89271,5523.366,5583.0,2108.1,9998
-1.41318,-21.70812,5050.9,4991.0,2210.3,9998
-1.17324,-22.47998,4534.721,4422.0,1008.9,-1
-1.15982,-21.89379,4994.063,5016.0,1184.9,9998
-1.1544,-21.8718,5092.484,5006.0,1196.7,-1
-1.19339,-22.35263,5023.894,5031.0,1161.7,-1
-1.00372,-22.32355,5043.718,5050.0,1433.0,-1
-1.19852,-22.76677,4280.623,4367.0,1085.2,9998
-1.25518,-23.11731,4299.631,4372.0,1101.7,9998
-1.25463,-23.05157,3692.307,3725.0,969.6,9998
-1.55084,-23.07626,4616.689,4720.0,2495.3,9998
-1.55166,-23.19433,4353.523,4364.0,2340.1,9998
-1.61418,-23.2904,4287.438,4276.0,2540.6,-1
-1.95253,-22.92564,4633.322,4459.0,4047.5,9998
-1.78379,-23.25619,4684.032,4794.0,3430.2,9998
-1.59321,-23.52241,4606.953,4616.0,2556.9,-1
-1.49062,-23.46047,4777.634,5351.0,2188.7,-1
-1.54574,-22.88017,4617.273,4590.0,2495.8,9998
-1.68124,-22.77107,4369.599,4403.0,2879.5,9998
-2.06497,-23.20371,4720.415,5062.0,4500.2,9998
-13.98924,-34.01915,4080.025,4750.0,1696.8,9998
-14.04106,-34.08167,3948.004,4719.0,1667.4,9998
-14.19943,-34.1285,4632.95,4573.0,1964.0,-1
-14.3367,-34.09437,4601.686,4611.0,1874.2,-1
-14.34171,-34.07598,4598.766,4608.0,1861.8,-1
-14.25931,-34.18644,4618.537,4597.0,1961.7,9998
-14.10647,-33.82642,4600.565,4667.0,1850.5,9998
-13.66531,-33.95953,4620.602,4637.0,1770.6,9998
-13.90509,-33.62536,4592.722,4587.0,1816.2,9998
-14.14536,-34.1954,4685.012,4680.0,2024.8,9998
-14.78985,-33.84277,4572.883,4542.0,1404.2,9998
-14.5781,-33.66057,4573.9,4563.0,1532.2,9998
-14.73061,-34.9189,4548.467,4551.0,1530.3,9998
-14.71415,-34.59842,4572.997,4569.0,1561.6,9998
-13.85396,-34.91351,4538.129,4546.0,1908.8,9998
-13.92737,-35.38712,4498.103,4507.0,1692.1,-1
-14.06695,-35.2541,4543.149,4544.0,1921.7,9998
-13.78981,-34.69398,4547.389,4530.0,1867.5,9998
-13.608,-35.11019,4484.63,4477.0,1659.6,9998
-13.72673,-34.82397,4531.047,4523.0,1829.9,9998
-13.8778,-34.73782,4560.512,4556.0,1933.5,9998
-14.04897,-34.90782,4591.623,4590.0,2030.4,9998
-13.96689,-35.2414,4531.78,4537.0,1871.2,9998
-14.01749,-35.43341,4497.501,4510.0,1707.1,-1
-14.24115,-36.39676,4337.146,4347.0,1267.2,9998
-13.72305,-36.90535,4082.12,4037.0,1658.1,9998
-13.58366,-36.88447,4052.294,4008.0,1552.8,9998
-13.23444,-36.85498,3941.501,3898.0,1361.0,9998
-12.92312,-36.96792,3765.496,3762.0,565.8,9998
-13.00337,-37.26367,3577.95,3584.0,1211.7,9998
-13.39561,-37.45194,3578.772,3578.0,885.1,9998
-13.63149,-37.5463,3565.734,3569.0,1418.1,9998
-14.09037,-37.6221,3661.455,3659.0,2119.2,9998
