WMO,lon,lat,grnd,uncertainty,tid_flag,SID,gebco,uncertainty2,tid_flag2,gebco2
190226713,51.13664,-31.05952,-4993.37,307.4814,9998,33400,-4933.72496432,414.6,-1,-4933.0
190226714,51.10729,-31.07169,-4988.706,317.5618,9998,33400,-4921.93884656,453.3,-1,-4921.0
190226715,51.15253,-31.15724,-4840.441,354.5951,9998,33400,-4908.69539391,520.4,-1,-4908.0
190226716,51.27307,-31.24143,-4910.409,433.3524,9998,33400,-4929.10121063,626.7,-1,-4927.0
190226717,51.40638,-31.09083,-4940.658,253.3008,9998,33400,-4942.2583751,360.8,-1,-4943.0
190226718,51.4354,-31.13537,-4902.006,289.231,9998,33400,-4879.05624635,430.9,-1,-4879.0
190226719,51.42269,-31.19437,-4746.313,344.3668,9998,33400,-4861.19597647,519.7,-1,-4861.0
190226722,50.96344,-31.1403,-4858.8,543.2398,9998,33400,-4879.98950541,720.8,-1,-4880.0
190226723,50.82153,-31.08469,-4853.19,617.1278,9998,33400,-4916.77054333,813.8,-1,-4917.0
190226725,50.74124,-31.04438,-4899.324,647.8117,9998,33400,-4906.36549148,850.4,-1,-4906.0
190226726,50.62853,-31.11124,-4873.861,734.6433,9998,33400,-4862.34565485,966.4,-1,-4862.0
190226727,50.61055,-31.10679,-4864.445,724.2646,9998,33400,-4863.12330681,975.2,-1,-4863.0
190226728,50.70157,-31.19284,-4864.508,738.7123,9998,33400,-4886.62078658,980.2,-1,-4887.0
190226729,50.67483,-31.23259,-4853.229,776.1274,9998,33400,-4848.22037354,1017.7,-1,-4847.0
190226730,50.66233,-31.29856,-4876.02,810.5414,9998,33400,-4790.99655511,1079.2,-1,-4789.0
190226731,50.54122,-31.32603,-4772.295,838.2214,9998,33400,-4710.31412417,1121.0,-1,-4708.0
190226732,50.27207,-31.32843,-4752.187,802.7206,9998,33400,-4728.0810651,1080.7,-1,-4729.0
190226733,50.24567,-31.35716,-4776.459,827.949,9998,33400,-4709.31546592,1076.0,-1,-4710.0
190226734,50.16464,-31.36312,-4711.662,756.2452,9998,33400,-4732.32094878,1020.8,-1,-4732.0
190226735,50.22529,-31.38892,-4702.033,765.7311,9998,33400,-4694.61438668,1051.2,-1,-4694.0
190226736,50.16314,-31.41533,-4672.096,750.9922,9998,33400,-4743.50889384,1013.9,-1,-4741.0
190226737,50.13103,-31.42378,-4735.052,746.9127,9998,33400,-4787.41993548,1009.2,-1,-4787.0
190226738,50.19415,-31.45802,-4692.776,758.554,9998,33400,-4716.33751665,1032.7,9998,-4716.0
190226739,49.87799,-31.34821,-4831.335,645.4077,9998,33400,-4775.93407406,838.6,-1,-4777.0
